2017-05-26 17:27:18,584 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55160
2017-05-26 17:27:18,585 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55160
2017-05-26 17:27:18,586 [myid:1] - INFO  [Thread-17:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55160 (no session established for client)
2017-05-26 17:27:23,573 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55180
2017-05-26 17:27:23,574 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55180
2017-05-26 17:27:23,575 [myid:1] - INFO  [Thread-18:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55180 (no session established for client)
2017-05-26 17:27:28,555 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55202
2017-05-26 17:27:28,556 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55202
2017-05-26 17:27:28,557 [myid:1] - INFO  [Thread-19:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55202 (no session established for client)
2017-05-26 17:27:33,548 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55222
2017-05-26 17:27:33,550 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55222
2017-05-26 17:27:33,551 [myid:1] - INFO  [Thread-20:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55222 (no session established for client)
2017-05-26 17:27:38,572 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55252
2017-05-26 17:27:38,573 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55252
2017-05-26 17:27:38,577 [myid:1] - INFO  [Thread-21:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55252 (no session established for client)
2017-05-26 17:27:43,591 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55272
2017-05-26 17:27:43,593 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55272
2017-05-26 17:27:43,603 [myid:1] - INFO  [Thread-22:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55272 (no session established for client)
2017-05-26 17:27:48,598 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55292
2017-05-26 17:27:48,599 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55292
2017-05-26 17:27:48,600 [myid:1] - INFO  [Thread-23:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55292 (no session established for client)
2017-05-26 17:27:53,592 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55312
2017-05-26 17:27:53,593 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55312
2017-05-26 17:27:53,594 [myid:1] - INFO  [Thread-24:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55312 (no session established for client)
2017-05-26 17:27:58,592 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55332
2017-05-26 17:27:58,593 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55332
2017-05-26 17:27:58,594 [myid:1] - INFO  [Thread-25:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55332 (no session established for client)
2017-05-26 17:28:03,581 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55362
2017-05-26 17:28:03,582 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55362
2017-05-26 17:28:03,583 [myid:1] - INFO  [Thread-26:NIOServerCnxn@1007] - Closed socket connection for client /10.0.0.4:55362 (no session established for client)
2017-05-26 17:28:08,580 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@197] - Accepted socket connection from /10.0.0.4:55384
2017-05-26 17:28:08,581 [myid:1] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@827] - Processing ruok command from /10.0.0.4:55384
